miRNA	Gene		context_score	weighted_score
mmu-miR-23a-3p	ENSG00000148158	SNX30	0.032	0.029
mmu-miR-23a-3p	ENSG00000148200	NR6A1	0.293	0.29
mmu-miR-23a-3p	ENSG00000148411	NACC2	0.217	0.208
mmu-miR-23a-3p	ENSG00000148516	ZEB1	0.02	0.02
mmu-miR-23a-3p	ENSG00000148730	EIF4EBP2	0.125	0.086
mmu-miR-23a-3p	ENSG00000149187	CELF1	0.03	0.024
mmu-miR-23a-3p	ENSG00000149212	SESN3	0.191	0.016
mmu-miR-23a-3p	ENSG00000149256	TENM4	0.039	0.007
mmu-miR-23a-3p	ENSG00000149289	ZC3H12C	0.2	0.2
mmu-miR-23a-3p	ENSG00000149948	HMGA2	0.118	0.116
mmu-miR-23a-3p	ENSG00000150048	CLEC1A	0.299	0.299
mmu-miR-23a-3p	ENSG00000150593	PDCD4	0.127	0.055
mmu-miR-23a-3p	ENSG00000150594	ADRA2A	0.395	0.114
mmu-miR-23a-3p	ENSG00000150672	DLG2	0.03	0.03
mmu-miR-23a-3p	ENSG00000150779	TIMM8B	0.44	0.217
mmu-miR-23a-3p	ENSG00000150938	CRIM1	0.156	0.154
mmu-miR-23a-3p	ENSG00000151005	TKTL2	0.12	0.12
mmu-miR-23a-3p	ENSG00000151135	TMEM263	0.439	0.438
mmu-miR-23a-3p	ENSG00000151151	IPMK	0.139	0.005
mmu-miR-23a-3p	ENSG00000151233	GXYLT1	0.189	0.114
mmu-miR-23a-3p	ENSG00000151240	DIP2C	0.19	0.19
mmu-miR-23a-3p	ENSG00000151276	MAGI1	0.02	0.009
mmu-miR-23a-3p	ENSG00000151292	CSNK1G3	0.225	0.091
mmu-miR-23a-3p	ENSG00000151414	NEK7	0.3	0.3
mmu-miR-23a-3p	ENSG00000151458	ANKRD50	0.03	0.018
mmu-miR-23a-3p	ENSG00000151572	ANO4	0.15	0.15
mmu-miR-23a-3p	ENSG00000151615	POU4F2	0.134	0.134
mmu-miR-23a-3p	ENSG00000151702	FLI1	0.088	0.085
mmu-miR-23a-3p	ENSG00000151893	CACUL1	0.02	0
mmu-miR-23a-3p	ENSG00000152104	PTPN14	0.02	0.018
mmu-miR-23a-3p	ENSG00000152193	OBI1	0.205	0.205
mmu-miR-23a-3p	ENSG00000152223	EPG5	0.109	0.052
mmu-miR-23a-3p	ENSG00000152332	UHMK1	0.01	0.002
mmu-miR-23a-3p	ENSG00000152377	SPOCK1	0.095	0.094
mmu-miR-23a-3p	ENSG00000152382	TADA1	0.132	0.132
mmu-miR-23a-3p	ENSG00000152527	PLEKHH2	0.067	0.067
mmu-miR-23a-3p	ENSG00000152661	GJA1	0.057	0.057
mmu-miR-23a-3p	ENSG00000152670	DDX4	0.113	0.113
mmu-miR-23a-3p	ENSG00000152942	RAD17	0.352	0.352
mmu-miR-23a-3p	ENSG00000152977	ZIC1	0.301	0.226
mmu-miR-23a-3p	ENSG00000153187	HNRNPU	0.188	0.118
mmu-miR-23a-3p	ENSG00000153214	TMEM87B	0.116	0.102
mmu-miR-23a-3p	ENSG00000153317	ASAP1	0.02	0.013
mmu-miR-23a-3p	ENSG00000153774	CFDP1	0.202	0.202
mmu-miR-23a-3p	ENSG00000153814	JAZF1	0.143	0.055
mmu-miR-23a-3p	ENSG00000153815	CMIP	0.01	0.01
mmu-miR-23a-3p	ENSG00000153989	NUS1	0.083	0.083
mmu-miR-23a-3p	ENSG00000154001	PPP2R5E	0.241	0.241
mmu-miR-23a-3p	ENSG00000154146	NRGN	0.429	0.429
mmu-miR-23a-3p	ENSG00000154229	PRKCA	0.01	0.009
mmu-miR-23a-3p	ENSG00000154736	ADAMTS5	0.041	0.037
mmu-miR-23a-3p	ENSG00000155096	AZIN1	0.047	0
mmu-miR-23a-3p	ENSG00000155130	#N/A	0.323	0.014
mmu-miR-23a-3p	ENSG00000155229	MMS19	0.114	0.114
mmu-miR-23a-3p	ENSG00000155744	HYCC2	0.135	0.035
mmu-miR-23a-3p	ENSG00000155868	MED7	0.132	0.03
mmu-miR-23a-3p	ENSG00000155961	RAB39B	0.365	0.306
mmu-miR-23a-3p	ENSG00000155970	MICU3	0.311	0.311
mmu-miR-23a-3p	ENSG00000156232	WHAMM	0.243	0.243
mmu-miR-23a-3p	ENSG00000156804	FBXO32	0.129	0.079
mmu-miR-23a-3p	ENSG00000156875	MFSD14A	0.122	0.122
mmu-miR-23a-3p	ENSG00000157224	CLDN12	0.26	0.26
mmu-miR-23a-3p	ENSG00000157625	TAB3	0.03	0.022
mmu-miR-23a-3p	ENSG00000157734	SNX22	0.02	0.02
mmu-miR-23a-3p	ENSG00000157741	UBN2	0.03	0.028
mmu-miR-23a-3p	ENSG00000158022	TRIM63	0.266	0.266
mmu-miR-23a-3p	ENSG00000158195	WASF2	0.119	0.117
mmu-miR-23a-3p	ENSG00000158321	AUTS2	0.167	0.02
mmu-miR-23a-3p	ENSG00000158445	KCNB1	0.03	0.03
mmu-miR-23a-3p	ENSG00000159082	SYNJ1	0.123	0.11
mmu-miR-23a-3p	ENSG00000159164	SV2A	0.137	0.137
mmu-miR-23a-3p	ENSG00000159314	ARHGAP27	0.081	0.081
mmu-miR-23a-3p	ENSG00000159348	CYB5R1	0.02	0
mmu-miR-23a-3p	ENSG00000160199	PKNOX1	0.351	0.011
mmu-miR-23a-3p	ENSG00000160294	MCM3AP	0.104	0.007
mmu-miR-23a-3p	ENSG00000160360	GPSM1	0.188	0.188
mmu-miR-23a-3p	ENSG00000160404	TOR2A	0.169	0.157
mmu-miR-23a-3p	ENSG00000160551	TAOK1	0.03	0.027
mmu-miR-23a-3p	ENSG00000160588	MPZL3	0.275	0.263
mmu-miR-23a-3p	ENSG00000160633	SAFB	0.104	0.104
mmu-miR-23a-3p	ENSG00000160712	IL6R	0.201	0.201
mmu-miR-23a-3p	ENSG00000160877	NACC1	0.145	0.014
mmu-miR-23a-3p	ENSG00000160917	CPSF4	0.361	0.361
mmu-miR-23a-3p	ENSG00000161021	MAML1	0.048	0.048
mmu-miR-23a-3p	ENSG00000162231	NXF1	0.066	0.066
mmu-miR-23a-3p	ENSG00000162337	LRP5	0.099	0.087
mmu-miR-23a-3p	ENSG00000162374	ELAVL4	0.059	0.059
mmu-miR-23a-3p	ENSG00000162402	USP24	0.02	0.001
mmu-miR-23a-3p	ENSG00000162434	JAK1	0.03	0.03
mmu-miR-23a-3p	ENSG00000162599	NFIA	0.03	0.03
mmu-miR-23a-3p	ENSG00000162630	B3GALT2	0.337	0.337
mmu-miR-23a-3p	ENSG00000162695	SLC30A7	0.09	0.047
mmu-miR-23a-3p	ENSG00000162706	CADM3	0.074	0.074
mmu-miR-23a-3p	ENSG00000162729	IGSF8	0.538	0.538
mmu-miR-23a-3p	ENSG00000162878	PKDCC	0.163	0.163
mmu-miR-23a-3p	ENSG00000163032	VSNL1	0.186	0.186
mmu-miR-23a-3p	ENSG00000163125	RPRD2	0.03	0.012
mmu-miR-23a-3p	ENSG00000163235	TGFA	0.212	0.212
mmu-miR-23a-3p	ENSG00000163251	FZD5	0.146	0.013
mmu-miR-23a-3p	ENSG00000163297	ANTXR2	0.057	0.041
mmu-miR-23a-3p	ENSG00000163320	CGGBP1	0.255	0.111
mmu-miR-23a-3p	ENSG00000163376	KBTBD8	0.205	0.205
mmu-miR-23a-3p	ENSG00000163380	LMOD3	0.02	0.02
mmu-miR-23a-3p	ENSG00000163412	EIF4E3	0.01	0
mmu-miR-23a-3p	ENSG00000163449	TMEM169	0.052	0.052
mmu-miR-23a-3p	ENSG00000163508	EOMES	0.268	0.268
mmu-miR-23a-3p	ENSG00000163513	TGFBR2	0.1	0
mmu-miR-23a-3p	ENSG00000163519	TRAT1	0.273	0.001
mmu-miR-23a-3p	ENSG00000163545	NUAK2	0.337	0.337
mmu-miR-23a-3p	ENSG00000163602	RYBP	0.087	0.083
mmu-miR-23a-3p	ENSG00000163635	ATXN7	0.07	0.07
mmu-miR-23a-3p	ENSG00000163637	PRICKLE2	0.03	0.03
mmu-miR-23a-3p	ENSG00000163655	GMPS	0.151	0.137
mmu-miR-23a-3p	ENSG00000163694	RBM47	0.178	0.15
mmu-miR-23a-3p	ENSG00000163939	PBRM1	0.055	0.055
mmu-miR-23a-3p	ENSG00000164066	INTU	0.273	0.175
mmu-miR-23a-3p	ENSG00000164074	ABHD18	0.197	0.197
mmu-miR-23a-3p	ENSG00000164104	HMGB2	0.722	0.72
mmu-miR-23a-3p	ENSG00000164107	HAND2	0.104	0.104
mmu-miR-23a-3p	ENSG00000164134	NAA15	0.03	0.03
mmu-miR-23a-3p	ENSG00000164164	OTUD4	0.02	0.02
mmu-miR-23a-3p	ENSG00000164300	SERINC5	0.169	0.159
mmu-miR-23a-3p	ENSG00000164330	EBF1	0.064	0.055
mmu-miR-23a-3p	ENSG00000164626	KCNK5	0.275	0.275
mmu-miR-23a-3p	ENSG00000164749	HNF4G	0.242	0.242
mmu-miR-23a-3p	ENSG00000164754	RAD21	0.111	0.111
mmu-miR-23a-3p	ENSG00000164916	FOXK1	0.104	0.077
mmu-miR-23a-3p	ENSG00000164946	FREM1	0.079	0.062
mmu-miR-23a-3p	ENSG00000164989	CCDC171	0.02	0.012
mmu-miR-23a-3p	ENSG00000165023	DIRAS2	0.098	0.098
mmu-miR-23a-3p	ENSG00000165029	ABCA1	0.1	0.1
mmu-miR-23a-3p	ENSG00000165185	KIAA1958	0.068	0.057
mmu-miR-23a-3p	ENSG00000165194	PCDH19	0.03	0.03
mmu-miR-23a-3p	ENSG00000165259	HDX	0.394	0.251
mmu-miR-23a-3p	ENSG00000165410	CFL2	0.433	0.432
mmu-miR-23a-3p	ENSG00000165494	PCF11	0.026	0.001
mmu-miR-23a-3p	ENSG00000165516	KLHDC2	0.1	0.1
mmu-miR-23a-3p	ENSG00000165659	#N/A	0.02	0.02
mmu-miR-23a-3p	ENSG00000165660	ABRAXAS2	0.102	0.003
mmu-miR-23a-3p	ENSG00000165806	CASP7	0.271	0.271
mmu-miR-23a-3p	ENSG00000165868	HSPA12A	0.045	0.027
mmu-miR-23a-3p	ENSG00000165879	FRAT1	0.113	0.112
mmu-miR-23a-3p	ENSG00000165898	ISCA2	0.511	0.488
mmu-miR-23a-3p	ENSG00000165914	TTC7B	0.219	0.136
mmu-miR-23a-3p	ENSG00000165985	C1QL3	0.03	0.03
mmu-miR-23a-3p	ENSG00000166086	JAM3	0.054	0.003
mmu-miR-23a-3p	ENSG00000166135	HIF1AN	0.03	0.012
mmu-miR-23a-3p	ENSG00000166147	FBN1	0.117	0.116
mmu-miR-23a-3p	ENSG00000166206	GABRB3	0.049	0.047
mmu-miR-23a-3p	ENSG00000166454	ATMIN	0.024	0.024
mmu-miR-23a-3p	ENSG00000166483	WEE1	0.111	0.001
mmu-miR-23a-3p	ENSG00000166598	HSP90B1	0.316	0.166
mmu-miR-23a-3p	ENSG00000166619	BLCAP	0.587	0.413
mmu-miR-23a-3p	ENSG00000166822	TMEM170A	0.16	0.103
mmu-miR-23a-3p	ENSG00000166831	RBPMS2	0.477	0.098
mmu-miR-23a-3p	ENSG00000166923	GREM1	0.325	0.108
mmu-miR-23a-3p	ENSG00000166949	SMAD3	0.039	0.029
mmu-miR-23a-3p	ENSG00000166974	MAPRE2	0.074	0.002
mmu-miR-23a-3p	ENSG00000167191	GPRC5B	0.083	0.083
mmu-miR-23a-3p	ENSG00000167193	CRK	0.069	0.069
mmu-miR-23a-3p	ENSG00000167380	ZNF226	0.065	0.002
mmu-miR-23a-3p	ENSG00000167470	MIDN	0.038	0.038
mmu-miR-23a-3p	ENSG00000167548	KMT2D	0.02	0.02
mmu-miR-23a-3p	ENSG00000167770	OTUB1	0.329	0.155
mmu-miR-23a-3p	ENSG00000168237	GLYCTK	0.097	0.097
mmu-miR-23a-3p	ENSG00000168310	IRF2	0.26	0.26
mmu-miR-23a-3p	ENSG00000168438	CDC40	0.311	0.311
mmu-miR-23a-3p	ENSG00000168769	TET2	0.02	0.02
mmu-miR-23a-3p	ENSG00000168906	MAT2A	0.082	0.05
mmu-miR-23a-3p	ENSG00000168959	GRM5	0.065	0.065
mmu-miR-23a-3p	ENSG00000169118	CSNK1G1	0.029	0.026
mmu-miR-23a-3p	ENSG00000169155	ZBTB43	0.103	0.101
mmu-miR-23a-3p	ENSG00000169223	LMAN2	0.172	0.171
mmu-miR-23a-3p	ENSG00000169744	LDB2	0.121	0.121
mmu-miR-23a-3p	ENSG00000169760	NLGN1	0.06	0.06
mmu-miR-23a-3p	ENSG00000169836	TACR3	0.03	0.03
mmu-miR-23a-3p	ENSG00000169855	ROBO1	0.205	0.205
mmu-miR-23a-3p	ENSG00000169891	REPS2	0.113	0.018
mmu-miR-23a-3p	ENSG00000169902	TPST1	0.51	0.387
mmu-miR-23a-3p	ENSG00000170027	YWHAG	0.065	0.064
mmu-miR-23a-3p	ENSG00000170153	RNF150	0.03	0.025
mmu-miR-23a-3p	ENSG00000170234	PWWP2A	0.08	0.08
mmu-miR-23a-3p	ENSG00000170275	CRTAP	0.053	0.002
mmu-miR-23a-3p	ENSG00000170325	PRDM10	0.215	0.215
mmu-miR-23a-3p	ENSG00000170385	SLC30A1	0.079	0.057
mmu-miR-23a-3p	ENSG00000170522	ELOVL6	0.125	0.123
mmu-miR-23a-3p	ENSG00000170577	SIX2	0.079	0.079
mmu-miR-23a-3p	ENSG00000170579	DLGAP1	0.355	0.355
mmu-miR-23a-3p	ENSG00000170677	SOCS6	0.182	0.182
mmu-miR-23a-3p	ENSG00000170836	PPM1D	0.488	0.44
mmu-miR-23a-3p	ENSG00000170873	MTSS1	0.036	0.019
mmu-miR-23a-3p	ENSG00000170906	NDUFA3	0.7	0.031
mmu-miR-23a-3p	ENSG00000170921	TANC2	0.01	0.007
mmu-miR-23a-3p	ENSG00000170961	HAS2	0.281	0.228
mmu-miR-23a-3p	ENSG00000171004	HS6ST2	0.066	0.066
mmu-miR-23a-3p	ENSG00000171033	PKIA	0.441	0.067
mmu-miR-23a-3p	ENSG00000171132	PRKCE	0.089	0.089
mmu-miR-23a-3p	ENSG00000171303	KCNK3	0.139	0.139
mmu-miR-23a-3p	ENSG00000171316	CHD7	0.03	0.03
mmu-miR-23a-3p	ENSG00000171522	PTGER4	0.272	0.272
mmu-miR-23a-3p	ENSG00000171540	OTP	0.086	0.086
mmu-miR-23a-3p	ENSG00000171617	ENC1	0.056	0.046
mmu-miR-23a-3p	ENSG00000171823	FBXL14	0.137	0.137
mmu-miR-23a-3p	ENSG00000171862	PTEN	0.101	0.082
mmu-miR-23a-3p	ENSG00000171877	FRMD5	0.234	0.081
mmu-miR-23a-3p	ENSG00000171988	JMJD1C	0.119	0.101
mmu-miR-23a-3p	ENSG00000172020	GAP43	0.194	0.194
mmu-miR-23a-3p	ENSG00000172201	ID4	0.046	0.002
mmu-miR-23a-3p	ENSG00000172209	GPR22	0.404	0.404
mmu-miR-23a-3p	ENSG00000172379	ARNT2	0.014	0.014
mmu-miR-23a-3p	ENSG00000172461	FUT9	0.274	0.274
mmu-miR-23a-3p	ENSG00000172493	AFF1	0.02	0.008
mmu-miR-23a-3p	ENSG00000172572	PDE3A	0.07	0.022
mmu-miR-23a-3p	ENSG00000172869	DMXL1	0.113	0.045
mmu-miR-23a-3p	ENSG00000173020	GRK2	0.091	0.09
mmu-miR-23a-3p	ENSG00000173065	FAM222B	0.051	0.051
mmu-miR-23a-3p	ENSG00000173068	BNC2	0.03	0.001
mmu-miR-23a-3p	ENSG00000173281	PPP1R3B	0.168	0.093
mmu-miR-23a-3p	ENSG00000173334	TRIB1	0.23	0.216
mmu-miR-23a-3p	ENSG00000173451	THAP2	0.224	0.043
mmu-miR-23a-3p	ENSG00000173473	SMARCC1	0.034	0.001
mmu-miR-23a-3p	ENSG00000173698	ADGRG2	0.093	0.093
mmu-miR-23a-3p	ENSG00000173757	STAT5B	0.238	0.238
mmu-miR-23a-3p	ENSG00000173812	EIF1	0.065	0.007
mmu-miR-23a-3p	ENSG00000174010	KLHL15	0.124	0.072
mmu-miR-23a-3p	ENSG00000174238	PITPNA	0.134	0.002
mmu-miR-23a-3p	ENSG00000174279	EVX2	0.089	0.089
mmu-miR-23a-3p	ENSG00000174498	IGDCC3	0.168	0.168
mmu-miR-23a-3p	ENSG00000174502	SLC26A9	0.315	0.08
mmu-miR-23a-3p	ENSG00000174579	MSL2	0.045	0.006
mmu-miR-23a-3p	ENSG00000174684	B4GAT1	0.387	0.382
mmu-miR-23a-3p	ENSG00000174705	SH3PXD2B	0.02	0.014
mmu-miR-23a-3p	ENSG00000175093	SPSB4	0.224	0.224
mmu-miR-23a-3p	ENSG00000175105	ZNF654	0.141	0.141
mmu-miR-23a-3p	ENSG00000175130	MARCKSL1	0.376	0.317
mmu-miR-23a-3p	ENSG00000175161	CADM2	0.03	0.03
mmu-miR-23a-3p	ENSG00000175497	DPP10	0.03	0.03
mmu-miR-23a-3p	ENSG00000175556	LONRF3	0.02	0.009
mmu-miR-23a-3p	ENSG00000175895	PLEKHF2	0.23	0.189
mmu-miR-23a-3p	ENSG00000175931	UBE2O	0.129	0.129
mmu-miR-23a-3p	ENSG00000176105	YES1	0.293	0.28
mmu-miR-23a-3p	ENSG00000176274	#N/A	0.023	0.008
mmu-miR-23a-3p	ENSG00000176390	CRLF3	0.517	0.517
mmu-miR-23a-3p	ENSG00000176887	SOX11	0.123	0.12
mmu-miR-23a-3p	ENSG00000176903	PNMA1	0.145	0.125
mmu-miR-23a-3p	ENSG00000176928	GCNT4	0.126	0.092
mmu-miR-23a-3p	ENSG00000177125	ZBTB34	0.115	0.115
mmu-miR-23a-3p	ENSG00000177374	HIC1	0.182	0.182
mmu-miR-23a-3p	ENSG00000177426	TGIF1	0.138	0.138
mmu-miR-23a-3p	ENSG00000177432	NAP1L5	0.461	0.461
mmu-miR-23a-3p	ENSG00000177689	MAGEB10	0.239	0
mmu-miR-23a-3p	ENSG00000177932	ZNF354C	0.153	0.153
mmu-miR-23a-3p	ENSG00000178074	C2orf69	0.084	0.001
mmu-miR-23a-3p	ENSG00000178409	BEND3	0.064	0.064
mmu-miR-23a-3p	ENSG00000178568	ERBB4	0.06	0.047
mmu-miR-23a-3p	ENSG00000178573	MAF	0.237	0.237
mmu-miR-23a-3p	ENSG00000178585	CTNNBIP1	0.378	0.268
mmu-miR-23a-3p	ENSG00000178878	APOLD1	0.164	0.164
mmu-miR-23a-3p	ENSG00000179335	CLK3	0.175	0.175
mmu-miR-23a-3p	ENSG00000179361	ARID3B	0.151	0.151
mmu-miR-23a-3p	ENSG00000179388	EGR3	0.2	0.149
mmu-miR-23a-3p	ENSG00000179454	KLHL28	0.221	0
mmu-miR-23a-3p	ENSG00000179456	ZBTB18	0.262	0.262
mmu-miR-23a-3p	ENSG00000179562	GCC1	0.02	0.02
mmu-miR-23a-3p	ENSG00000179915	NRXN1	0.094	0.094
mmu-miR-23a-3p	ENSG00000180182	MED14	0.02	0
mmu-miR-23a-3p	ENSG00000180233	ZNRF2	0.165	0.018
mmu-miR-23a-3p	ENSG00000180370	PAK2	0.189	0.189
mmu-miR-23a-3p	ENSG00000180398	MCFD2	0.232	0.23
mmu-miR-23a-3p	ENSG00000180667	YOD1	0.139	0.024
mmu-miR-23a-3p	ENSG00000180694	TMEM64	0.211	0.164
mmu-miR-23a-3p	ENSG00000180875	GREM2	0.264	0.259
mmu-miR-23a-3p	ENSG00000181274	FRAT2	0.16	0.092
mmu-miR-23a-3p	ENSG00000181467	RAP2B	0.174	0.174
mmu-miR-23a-3p	ENSG00000181472	ZBTB2	0.102	0.101
mmu-miR-23a-3p	ENSG00000181495	#N/A	0.195	0.195
mmu-miR-23a-3p	ENSG00000181541	MAB21L2	0.42	0.42
mmu-miR-23a-3p	ENSG00000181555	SETD2	0.145	0.145
mmu-miR-23a-3p	ENSG00000181619	GPR135	0.01	0.01
mmu-miR-23a-3p	ENSG00000181704	YIPF6	0.182	0.037
mmu-miR-23a-3p	ENSG00000181873	IBA57	0.23	0.016
mmu-miR-23a-3p	ENSG00000182022	CHST15	0.01	0.01
mmu-miR-23a-3p	ENSG00000182263	FIGN	0.152	0.077
mmu-miR-23a-3p	ENSG00000182400	TRAPPC6B	0.417	0.236
mmu-miR-23a-3p	ENSG00000182489	XKRX	0.084	0.084
mmu-miR-23a-3p	ENSG00000182568	SATB1	0.328	0.235
mmu-miR-23a-3p	ENSG00000182742	HOXB4	0.296	0.296
mmu-miR-23a-3p	ENSG00000182836	PLCXD3	0.165	0.153
mmu-miR-23a-3p	ENSG00000182923	CEP63	0.059	0.002
mmu-miR-23a-3p	ENSG00000182985	CADM1	0.02	0
mmu-miR-23a-3p	ENSG00000183023	SLC8A1	0.02	0.002
mmu-miR-23a-3p	ENSG00000183530	PRR14L	0.02	0.02
mmu-miR-23a-3p	ENSG00000183579	ZNRF3	0.034	0.034
mmu-miR-23a-3p	ENSG00000183742	MACC1	0.039	0.039
mmu-miR-23a-3p	ENSG00000183748	#N/A	0.172	0.172
mmu-miR-23a-3p	ENSG00000183770	FOXL2	0.177	0.177
mmu-miR-23a-3p	ENSG00000183878	UTY	0.183	0.183
mmu-miR-23a-3p	ENSG00000183955	KMT5A	0.281	0.281
mmu-miR-23a-3p	ENSG00000184007	PTP4A2	0.335	0.335
mmu-miR-23a-3p	ENSG00000184014	DENND5A	0.01	0.001
mmu-miR-23a-3p	ENSG00000184374	COLEC10	0.124	0
mmu-miR-23a-3p	ENSG00000184384	MAML2	0.161	0.07
mmu-miR-23a-3p	ENSG00000184481	FOXO4	0.157	0.157
mmu-miR-23a-3p	ENSG00000184588	PDE4B	0.196	0.196
mmu-miR-23a-3p	ENSG00000184708	EIF4ENIF1	0.139	0.137
mmu-miR-23a-3p	ENSG00000184716	SERINC4	0.043	0.043
mmu-miR-23a-3p	ENSG00000185008	ROBO2	0.033	0.033
mmu-miR-23a-3p	ENSG00000185033	SEMA4B	0.17	0.17
mmu-miR-23a-3p	ENSG00000185129	PURA	0.02	0.01
mmu-miR-23a-3p	ENSG00000185278	ZBTB37	0.071	0.064
mmu-miR-23a-3p	ENSG00000185352	HS6ST3	0.045	0.045
mmu-miR-23a-3p	ENSG00000185437	SH3BGR	0.295	0.295
mmu-miR-23a-3p	ENSG00000185565	LSAMP	0.204	0.051
mmu-miR-23a-3p	ENSG00000185630	PBX1	0.01	0
mmu-miR-23a-3p	ENSG00000185658	BRWD1	0.02	0.015
mmu-miR-23a-3p	ENSG00000185722	ANKFY1	0.058	0.058
mmu-miR-23a-3p	ENSG00000185728	YTHDF3	0.097	0.097
mmu-miR-23a-3p	ENSG00000185774	KCNIP4	0.254	0.254
mmu-miR-23a-3p	ENSG00000185896	LAMP1	0.412	0.412
mmu-miR-23a-3p	ENSG00000185963	BICD2	0.03	0.013
mmu-miR-23a-3p	ENSG00000186051	TAL2	0.102	0.078
mmu-miR-23a-3p	ENSG00000186174	BCL9L	0.177	0.095
mmu-miR-23a-3p	ENSG00000186265	BTLA	0.022	0.022
mmu-miR-23a-3p	ENSG00000186314	PRELID2	0.295	0.108
mmu-miR-23a-3p	ENSG00000186340	THBS2	0.01	0
mmu-miR-23a-3p	ENSG00000186432	KPNA4	0.27	0.257
mmu-miR-23a-3p	ENSG00000186469	GNG2	0.078	0.052
mmu-miR-23a-3p	ENSG00000186834	HEXIM1	0.189	0.159
mmu-miR-23a-3p	ENSG00000186918	ZNF395	0.36	0.348
mmu-miR-23a-3p	ENSG00000187079	TEAD1	0.129	0.126
mmu-miR-23a-3p	ENSG00000187097	ENTPD5	0.214	0.214
mmu-miR-23a-3p	ENSG00000187098	MITF	0.175	0.164
mmu-miR-23a-3p	ENSG00000187109	NAP1L1	0.03	0.001
mmu-miR-23a-3p	ENSG00000187122	SLIT1	0.024	0.016
mmu-miR-23a-3p	ENSG00000187257	RSBN1L	0.02	0.002
mmu-miR-23a-3p	ENSG00000187498	COL4A1	0.03	0.029
mmu-miR-23a-3p	ENSG00000187605	TET3	0.03	0.03
mmu-miR-23a-3p	ENSG00000187772	LIN28B	0.02	0.02
mmu-miR-23a-3p	ENSG00000188582	PAQR9	0.214	0.214
mmu-miR-23a-3p	ENSG00000188611	ASAH2	0.03	0.03
mmu-miR-23a-3p	ENSG00000188735	TMEM120B	0.073	0.073
mmu-miR-23a-3p	ENSG00000188786	MTF1	0.215	0.206
mmu-miR-23a-3p	ENSG00000188994	ZNF292	0.162	0.126
mmu-miR-23a-3p	ENSG00000196220	SRGAP3	0.093	0.025
mmu-miR-23a-3p	ENSG00000196323	ZBTB44	0.111	0.016
mmu-miR-23a-3p	ENSG00000196367	TRRAP	0.052	0.052
mmu-miR-23a-3p	ENSG00000196371	FUT4	0.357	0.357
mmu-miR-23a-3p	ENSG00000196586	MYO6	0.092	0.019
mmu-miR-23a-3p	ENSG00000196632	WNK3	0.065	0.065
mmu-miR-23a-3p	ENSG00000196700	ZNF512B	0.034	0.034
mmu-miR-23a-3p	ENSG00000196715	VKORC1L1	0.173	0.141
mmu-miR-23a-3p	ENSG00000196935	SRGAP1	0.01	0.006
mmu-miR-23a-3p	ENSG00000196950	SLC39A10	0.02	0.019
mmu-miR-23a-3p	ENSG00000197045	GMFB	0.253	0.253
mmu-miR-23a-3p	ENSG00000197183	NOL4L	0.085	0.035
mmu-miR-23a-3p	ENSG00000197283	SYNGAP1	0.056	0.056
mmu-miR-23a-3p	ENSG00000197343	ZNF655	0.269	0.269
mmu-miR-23a-3p	ENSG00000197410	DCHS2	0.01	0.01
mmu-miR-23a-3p	ENSG00000197442	MAP3K5	0.062	0.062
mmu-miR-23a-3p	ENSG00000197555	SIPA1L1	0.147	0.002
mmu-miR-23a-3p	ENSG00000197587	DMBX1	0.049	0.049
mmu-miR-23a-3p	ENSG00000197930	ERO1A	0.038	0.029
mmu-miR-23a-3p	ENSG00000197959	DNM3	0.168	0.156
mmu-miR-23a-3p	ENSG00000198010	DLGAP2	0.02	0.02
mmu-miR-23a-3p	ENSG00000198046	ZNF667	0.154	0.154
mmu-miR-23a-3p	ENSG00000198053	SIRPA	0.188	0.188
mmu-miR-23a-3p	ENSG00000198108	CHSY3	0.145	0.145
mmu-miR-23a-3p	ENSG00000198121	LPAR1	0.267	0.24
mmu-miR-23a-3p	ENSG00000198382	UVRAG	0.01	0.005
mmu-miR-23a-3p	ENSG00000198431	TXNRD1	0.287	0.045
mmu-miR-23a-3p	ENSG00000198586	TLK1	0.188	0.031
mmu-miR-23a-3p	ENSG00000198646	NCOA6	0.228	0.226
mmu-miR-23a-3p	ENSG00000198740	ZNF652	0.135	0.081
mmu-miR-23a-3p	ENSG00000198807	PAX9	0.225	0.191
mmu-miR-23a-3p	ENSG00000198818	SFT2D1	0.665	0.157
mmu-miR-23a-3p	ENSG00000198830	HMGN2	0.537	0.501
mmu-miR-23a-3p	ENSG00000198846	TOX	0.292	0.292
mmu-miR-23a-3p	ENSG00000198873	GRK5	0.02	0
mmu-miR-23a-3p	ENSG00000198894	CIPC	0.177	0.151
mmu-miR-23a-3p	ENSG00000198900	TOP1	0.339	0.339
mmu-miR-23a-3p	ENSG00000198909	MAP3K3	0.039	0.039
mmu-miR-23a-3p	ENSG00000198920	KIAA0753	0.02	0.02
mmu-miR-23a-3p	ENSG00000198948	MFAP3L	0.088	0.085
mmu-miR-23a-3p	ENSG00000198961	PJA2	0.071	0.063
mmu-miR-23a-3p	ENSG00000204070	SYS1	0.44	0.44
mmu-miR-23a-3p	ENSG00000204130	RUFY2	0.398	0.331
mmu-miR-23a-3p	ENSG00000204147	ASAH2B	0.183	0.183
mmu-miR-23a-3p	ENSG00000204186	ZDBF2	0.233	0.229
mmu-miR-23a-3p	ENSG00000204248	COL11A2	0.06	0.05
